File,2.csv,
1523.845760,1.9940E-004,1523.845760,1.1680E-004,1523.845760,6.6950E-005,1523.845760,3.4920E-005,1523.845760,2.9783E000
1523.862240,1.9960E-004,1523.862240,1.1680E-004,1523.862240,6.6910E-005,1523.862240,3.5050E-005,1523.862240,2.9831E000
1523.878720,1.9960E-004,1523.878720,1.1680E-004,1523.878720,6.7010E-005,1523.878720,3.5110E-005,1523.878720,2.9787E000
1523.895200,1.9960E-004,1523.895200,1.1650E-004,1523.895200,6.6850E-005,1523.895200,3.5190E-005,1523.895200,2.9858E000
1523.911680,1.9960E-004,1523.911680,1.1670E-004,1523.911680,6.6780E-005,1523.911680,3.5090E-005,1523.911680,2.9889E000
1523.928160,1.9940E-004,1523.928160,1.1670E-004,1523.928160,6.6760E-005,1523.928160,3.5130E-005,1523.928160,2.9868E000
1523.944640,1.9980E-004,1523.944640,1.1650E-004,1523.944640,6.6820E-005,1523.944640,3.5190E-005,1523.944640,2.9901E000
1523.961120,1.9940E-004,1523.961120,1.1660E-004,1523.961120,6.6720E-005,1523.961120,3.5150E-005,1523.961120,2.9886E000
1523.977600,1.9920E-004,1523.977600,1.1670E-004,1523.977600,6.6800E-005,1523.977600,3.5330E-005,1523.977600,2.9820E000
1523.994080,1.9940E-004,1523.994080,1.1660E-004,1523.994080,6.6950E-005,1523.994080,3.5350E-005,1523.994080,2.9783E000
1524.010560,1.9960E-004,1524.010560,1.1670E-004,1524.010560,6.6910E-005,1524.010560,3.5350E-005,1524.010560,2.9831E000
1524.027040,1.9920E-004,1524.027040,1.1670E-004,1524.027040,6.7030E-005,1524.027040,3.5310E-005,1524.027040,2.9718E000
1524.043520,1.9940E-004,1524.043520,1.1680E-004,1524.043520,6.7090E-005,1524.043520,3.5580E-005,1524.043520,2.9721E000
1524.060000,1.9940E-004,1524.060000,1.1680E-004,1524.060000,6.6850E-005,1524.060000,3.5580E-005,1524.060000,2.9828E000
1524.076480,2.0000E-004,1524.076480,1.1670E-004,1524.076480,6.7150E-005,1524.076480,3.5700E-005,1524.076480,2.9784E000
1524.092960,1.9960E-004,1524.092960,1.1680E-004,1524.092960,6.7190E-005,1524.092960,3.5660E-005,1524.092960,2.9707E000
1524.109440,2.0060E-004,1524.109440,1.1680E-004,1524.109440,6.7370E-005,1524.109440,3.5680E-005,1524.109440,2.9776E000
1524.125920,2.0030E-004,1524.125920,1.1690E-004,1524.125920,6.7160E-005,1524.125920,3.5840E-005,1524.125920,2.9824E000
1524.142400,2.0010E-004,1524.142400,1.1700E-004,1524.142400,6.7260E-005,1524.142400,3.5820E-005,1524.142400,2.9750E000
1524.158880,2.0010E-004,1524.158880,1.1730E-004,1524.158880,6.7380E-005,1524.158880,3.5680E-005,1524.158880,2.9697E000
1524.175360,1.9990E-004,1524.175360,1.1690E-004,1524.175360,6.7120E-005,1524.175360,3.5940E-005,1524.175360,2.9782E000
1524.191840,1.9990E-004,1524.191840,1.1680E-004,1524.191840,6.7120E-005,1524.191840,3.5860E-005,1524.191840,2.9782E000
1524.208320,1.9990E-004,1524.208320,1.1670E-004,1524.208320,6.7070E-005,1524.208320,3.5840E-005,1524.208320,2.9805E000
1524.224800,1.9970E-004,1524.224800,1.1670E-004,1524.224800,6.7260E-005,1524.224800,3.5820E-005,1524.224800,2.9691E000
1524.241280,1.9990E-004,1524.241280,1.1680E-004,1524.241280,6.7200E-005,1524.241280,3.6030E-005,1524.241280,2.9747E000
1524.257760,1.9990E-004,1524.257760,1.1670E-004,1524.257760,6.7240E-005,1524.257760,3.6000E-005,1524.257760,2.9729E000
1524.274240,1.9990E-004,1524.274240,1.1680E-004,1524.274240,6.7240E-005,1524.274240,3.6050E-005,1524.274240,2.9729E000
1524.290720,2.0030E-004,1524.290720,1.1710E-004,1524.290720,6.7380E-005,1524.290720,3.6170E-005,1524.290720,2.9727E000
1524.307200,1.9990E-004,1524.307200,1.1700E-004,1524.307200,6.7320E-005,1524.307200,3.6210E-005,1524.307200,2.9694E000
1524.323680,2.0050E-004,1524.323680,1.1710E-004,1524.323680,6.7540E-005,1524.323680,3.6250E-005,1524.323680,2.9686E000
1524.340160,2.0030E-004,1524.340160,1.1700E-004,1524.340160,6.7650E-005,1524.340160,3.6270E-005,1524.340160,2.9608E000
1524.356640,2.0030E-004,1524.356640,1.1710E-004,1524.356640,6.7560E-005,1524.356640,3.6470E-005,1524.356640,2.9648E000
1524.373120,2.0010E-004,1524.373120,1.1710E-004,1524.373120,6.7600E-005,1524.373120,3.6410E-005,1524.373120,2.9601E000
1524.389600,2.0050E-004,1524.389600,1.1710E-004,1524.389600,6.7380E-005,1524.389600,3.6490E-005,1524.389600,2.9757E000
1524.406080,2.0030E-004,1524.406080,1.1690E-004,1524.406080,6.7640E-005,1524.406080,3.6530E-005,1524.406080,2.9613E000
1524.422560,2.0010E-004,1524.422560,1.1680E-004,1524.422560,6.7600E-005,1524.422560,3.6700E-005,1524.422560,2.9601E000
1524.439040,1.9990E-004,1524.439040,1.1690E-004,1524.439040,6.7380E-005,1524.439040,3.6600E-005,1524.439040,2.9668E000
1524.455520,2.0030E-004,1524.455520,1.1680E-004,1524.455520,6.7600E-005,1524.455520,3.6620E-005,1524.455520,2.9630E000
1524.472000,1.9990E-004,1524.472000,1.1670E-004,1524.472000,6.7380E-005,1524.472000,3.6720E-005,1524.472000,2.9668E000
1524.488480,2.0010E-004,1524.488480,1.1680E-004,1524.488480,6.7600E-005,1524.488480,3.6760E-005,1524.488480,2.9601E000
1524.504960,2.0030E-004,1524.504960,1.1670E-004,1524.504960,6.7480E-005,1524.504960,3.6840E-005,1524.504960,2.9683E000
1524.521440,2.0030E-004,1524.521440,1.1700E-004,1524.521440,6.7540E-005,1524.521440,3.6720E-005,1524.521440,2.9656E000
1524.537920,2.0010E-004,1524.537920,1.1690E-004,1524.537920,6.7730E-005,1524.537920,3.6880E-005,1524.537920,2.9544E000
1524.554400,2.0010E-004,1524.554400,1.1690E-004,1524.554400,6.7710E-005,1524.554400,3.6900E-005,1524.554400,2.9553E000
1524.570880,2.0060E-004,1524.570880,1.1730E-004,1524.570880,6.7780E-005,1524.570880,3.7150E-005,1524.570880,2.9596E000
1524.587360,2.0080E-004,1524.587360,1.1710E-004,1524.587360,6.7950E-005,1524.587360,3.7230E-005,1524.587360,2.9551E000
1524.603840,2.0040E-004,1524.603840,1.1740E-004,1524.603840,6.7780E-005,1524.603840,3.7230E-005,1524.603840,2.9566E000
1524.620320,2.0060E-004,1524.620320,1.1710E-004,1524.620320,6.7820E-005,1524.620320,3.7350E-005,1524.620320,2.9578E000
1524.636800,2.0080E-004,1524.636800,1.1710E-004,1524.636800,6.8090E-005,1524.636800,3.7410E-005,1524.636800,2.9490E000
1524.653280,2.0100E-004,1524.653280,1.1690E-004,1524.653280,6.7930E-005,1524.653280,3.7350E-005,1524.653280,2.9589E000
1524.669760,2.0060E-004,1524.669760,1.1720E-004,1524.669760,6.7780E-005,1524.669760,3.7590E-005,1524.669760,2.9596E000
1524.686240,2.0020E-004,1524.686240,1.1680E-004,1524.686240,6.7910E-005,1524.686240,3.7510E-005,1524.686240,2.9480E000
1524.702720,2.0040E-004,1524.702720,1.1690E-004,1524.702720,6.7880E-005,1524.702720,3.7550E-005,1524.702720,2.9523E000
1524.719200,2.0060E-004,1524.719200,1.1700E-004,1524.719200,6.7700E-005,1524.719200,3.7740E-005,1524.719200,2.9631E000
1524.735680,2.0040E-004,1524.735680,1.1700E-004,1524.735680,6.7930E-005,1524.735680,3.7660E-005,1524.735680,2.9501E000
1524.752160,2.0060E-004,1524.752160,1.1680E-004,1524.752160,6.7840E-005,1524.752160,3.7700E-005,1524.752160,2.9570E000
1524.768640,2.0060E-004,1524.768640,1.1700E-004,1524.768640,6.7800E-005,1524.768640,3.7800E-005,1524.768640,2.9587E000
1524.785120,2.0060E-004,1524.785120,1.1710E-004,1524.785120,6.7970E-005,1524.785120,3.7820E-005,1524.785120,2.9513E000
1524.801600,2.0080E-004,1524.801600,1.1720E-004,1524.801600,6.8170E-005,1524.801600,3.8060E-005,1524.801600,2.9456E000
1524.818080,2.0100E-004,1524.818080,1.1720E-004,1524.818080,6.8070E-005,1524.818080,3.8100E-005,1524.818080,2.9528E000
1524.834560,2.0080E-004,1524.834560,1.1730E-004,1524.834560,6.8310E-005,1524.834560,3.8140E-005,1524.834560,2.9395E000
1524.851040,2.0160E-004,1524.851040,1.1750E-004,1524.851040,6.8310E-005,1524.851040,3.8230E-005,1524.851040,2.9513E000
1524.867520,2.0120E-004,1524.867520,1.1760E-004,1524.867520,6.8350E-005,1524.867520,3.8410E-005,1524.867520,2.9437E000
1524.884000,2.0120E-004,1524.884000,1.1750E-004,1524.884000,6.8070E-005,1524.884000,3.8490E-005,1524.884000,2.9558E000
1524.900480,2.0140E-004,1524.900480,1.1770E-004,1524.900480,6.8460E-005,1524.900480,3.8390E-005,1524.900480,2.9419E000
1524.916960,2.0080E-004,1524.916960,1.1700E-004,1524.916960,6.8210E-005,1524.916960,3.8490E-005,1524.916960,2.9438E000
1524.933440,2.0060E-004,1524.933440,1.1720E-004,1524.933440,6.8130E-005,1524.933440,3.8450E-005,1524.933440,2.9444E000
1524.949920,2.0060E-004,1524.949920,1.1690E-004,1524.949920,6.8150E-005,1524.949920,3.8570E-005,1524.949920,2.9435E000
1524.966400,2.0080E-004,1524.966400,1.1710E-004,1524.966400,6.8250E-005,1524.966400,3.8490E-005,1524.966400,2.9421E000
1524.982880,2.0060E-004,1524.982880,1.1710E-004,1524.982880,6.8270E-005,1524.982880,3.8710E-005,1524.982880,2.9383E000
1524.999360,2.0080E-004,1524.999360,1.1740E-004,1524.999360,6.8150E-005,1524.999360,3.8780E-005,1524.999360,2.9464E000
1525.015840,2.0100E-004,1525.015840,1.1730E-004,1525.015840,6.8250E-005,1525.015840,3.8940E-005,1525.015840,2.9451E000
1525.032320,2.0120E-004,1525.032320,1.1760E-004,1525.032320,6.8210E-005,1525.032320,3.8920E-005,1525.032320,2.9497E000
1525.048800,2.0120E-004,1525.048800,1.1750E-004,1525.048800,6.8520E-005,1525.048800,3.8960E-005,1525.048800,2.9364E000
1525.065280,2.0160E-004,1525.065280,1.1760E-004,1525.065280,6.8600E-005,1525.065280,3.9020E-005,1525.065280,2.9388E000
1525.081760,2.0160E-004,1525.081760,1.1760E-004,1525.081760,6.8440E-005,1525.081760,3.9220E-005,1525.081760,2.9456E000
1525.098240,2.0140E-004,1525.098240,1.1730E-004,1525.098240,6.8550E-005,1525.098240,3.9200E-005,1525.098240,2.9380E000
1525.114720,2.0140E-004,1525.114720,1.1750E-004,1525.114720,6.8630E-005,1525.114720,3.9290E-005,1525.114720,2.9346E000
1525.131200,2.0140E-004,1525.131200,1.1780E-004,1525.131200,6.8680E-005,1525.131200,3.9390E-005,1525.131200,2.9324E000
1525.147680,2.0130E-004,1525.147680,1.1740E-004,1525.147680,6.8570E-005,1525.147680,3.9390E-005,1525.147680,2.9357E000
1525.164160,2.0140E-004,1525.164160,1.1760E-004,1525.164160,6.8670E-005,1525.164160,3.9490E-005,1525.164160,2.9329E000
1525.180640,2.0110E-004,1525.180640,1.1760E-004,1525.180640,6.8680E-005,1525.180640,3.9390E-005,1525.180640,2.9281E000
1525.197120,2.0160E-004,1525.197120,1.1770E-004,1525.197120,6.8630E-005,1525.197120,3.9670E-005,1525.197120,2.9375E000
1525.213600,2.0140E-004,1525.213600,1.1750E-004,1525.213600,6.8650E-005,1525.213600,3.9530E-005,1525.213600,2.9337E000
1525.230080,2.0140E-004,1525.230080,1.1760E-004,1525.230080,6.8610E-005,1525.230080,3.9670E-005,1525.230080,2.9354E000
1525.246560,2.0140E-004,1525.246560,1.1740E-004,1525.246560,6.8700E-005,1525.246560,3.9730E-005,1525.246560,2.9316E000
1525.263040,2.0130E-004,1525.263040,1.1720E-004,1525.263040,6.8840E-005,1525.263040,3.9750E-005,1525.263040,2.9242E000
1525.279520,2.0140E-004,1525.279520,1.1760E-004,1525.279520,6.8670E-005,1525.279520,3.9840E-005,1525.279520,2.9329E000
1525.296000,2.0130E-004,1525.296000,1.1750E-004,1525.296000,6.8900E-005,1525.296000,3.9960E-005,1525.296000,2.9216E000
1525.312480,2.0160E-004,1525.312480,1.1770E-004,1525.312480,6.9000E-005,1525.312480,4.0060E-005,1525.312480,2.9217E000
1525.328960,2.0180E-004,1525.328960,1.1760E-004,1525.328960,6.9000E-005,1525.328960,4.0140E-005,1525.328960,2.9246E000
1525.345440,2.0160E-004,1525.345440,1.1770E-004,1525.345440,6.9140E-005,1525.345440,4.0200E-005,1525.345440,2.9158E000
1525.361920,2.0180E-004,1525.361920,1.1780E-004,1525.361920,6.9230E-005,1525.361920,4.0220E-005,1525.361920,2.9149E000
1525.378400,2.0160E-004,1525.378400,1.1770E-004,1525.378400,6.9100E-005,1525.378400,4.0390E-005,1525.378400,2.9175E000
1525.394880,2.0200E-004,1525.394880,1.1790E-004,1525.394880,6.9210E-005,1525.394880,4.0530E-005,1525.394880,2.9187E000
1525.411360,2.0160E-004,1525.411360,1.1770E-004,1525.411360,6.9060E-005,1525.411360,4.0470E-005,1525.411360,2.9192E000
1525.427840,2.0160E-004,1525.427840,1.1780E-004,1525.427840,6.9140E-005,1525.427840,4.0590E-005,1525.427840,2.9158E000
1525.444320,2.0220E-004,1525.444320,1.1780E-004,1525.444320,6.9080E-005,1525.444320,4.0530E-005,1525.444320,2.9270E000
1525.460800,2.0200E-004,1525.460800,1.1770E-004,1525.460800,6.9210E-005,1525.460800,4.0590E-005,1525.460800,2.9187E000
1525.477280,2.0180E-004,1525.477280,1.1770E-004,1525.477280,6.9100E-005,1525.477280,4.0630E-005,1525.477280,2.9204E000
1525.493760,2.0180E-004,1525.493760,1.1760E-004,1525.493760,6.9310E-005,1525.493760,4.0840E-005,1525.493760,2.9116E000
1525.510240,2.0160E-004,1525.510240,1.1750E-004,1525.510240,6.9100E-005,1525.510240,4.0800E-005,1525.510240,2.9175E000
1525.526720,2.0180E-004,1525.526720,1.1770E-004,1525.526720,6.9270E-005,1525.526720,4.0920E-005,1525.526720,2.9132E000
1525.543200,2.0140E-004,1525.543200,1.1780E-004,1525.543200,6.9270E-005,1525.543200,4.0900E-005,1525.543200,2.9075E000
1525.559680,2.0180E-004,1525.559680,1.1780E-004,1525.559680,6.9430E-005,1525.559680,4.1060E-005,1525.559680,2.9065E000
1525.576160,2.0220E-004,1525.576160,1.1780E-004,1525.576160,6.9450E-005,1525.576160,4.1120E-005,1525.576160,2.9114E000
1525.592640,2.0240E-004,1525.592640,1.1800E-004,1525.592640,6.9590E-005,1525.592640,4.1180E-005,1525.592640,2.9085E000
1525.609120,2.0230E-004,1525.609120,1.1800E-004,1525.609120,6.9390E-005,1525.609120,4.1290E-005,1525.609120,2.9154E000
1525.625600,2.0250E-004,1525.625600,1.1810E-004,1525.625600,6.9550E-005,1525.625600,4.1470E-005,1525.625600,2.9116E000
1525.642080,2.0210E-004,1525.642080,1.1800E-004,1525.642080,6.9530E-005,1525.642080,4.1490E-005,1525.642080,2.9067E000
1525.658560,2.0230E-004,1525.658560,1.1770E-004,1525.658560,6.9650E-005,1525.658560,4.1550E-005,1525.658560,2.9045E000
1525.675040,2.0230E-004,1525.675040,1.1770E-004,1525.675040,6.9590E-005,1525.675040,4.1650E-005,1525.675040,2.9070E000
1525.691520,2.0230E-004,1525.691520,1.1790E-004,1525.691520,6.9450E-005,1525.691520,4.1470E-005,1525.691520,2.9129E000
1525.708000,2.0230E-004,1525.708000,1.1790E-004,1525.708000,6.9650E-005,1525.708000,4.1690E-005,1525.708000,2.9045E000
1525.724480,2.0170E-004,1525.724480,1.1770E-004,1525.724480,6.9530E-005,1525.724480,4.1670E-005,1525.724480,2.9009E000
1525.740960,2.0230E-004,1525.740960,1.1770E-004,1525.740960,6.9630E-005,1525.740960,4.1690E-005,1525.740960,2.9054E000
1525.757440,2.0250E-004,1525.757440,1.1770E-004,1525.757440,6.9470E-005,1525.757440,4.1880E-005,1525.757440,2.9149E000
1525.773920,2.0230E-004,1525.773920,1.1790E-004,1525.773920,6.9570E-005,1525.773920,4.1860E-005,1525.773920,2.9079E000
1525.790400,2.0230E-004,1525.790400,1.1770E-004,1525.790400,6.9770E-005,1525.790400,4.1920E-005,1525.790400,2.8995E000
1525.806880,2.0190E-004,1525.806880,1.1760E-004,1525.806880,7.0040E-005,1525.806880,4.2080E-005,1525.806880,2.8826E000
1525.823360,2.0210E-004,1525.823360,1.1790E-004,1525.823360,7.0040E-005,1525.823360,4.2350E-005,1525.823360,2.8855E000
1525.839840,2.0270E-004,1525.839840,1.1800E-004,1525.839840,6.9920E-005,1525.839840,4.2200E-005,1525.839840,2.8990E000
1525.856320,2.0250E-004,1525.856320,1.1830E-004,1525.856320,6.9830E-005,1525.856320,4.2250E-005,1525.856320,2.8999E000
1525.872800,2.0310E-004,1525.872800,1.1820E-004,1525.872800,7.0220E-005,1525.872800,4.2610E-005,1525.872800,2.8923E000
1525.889280,2.0270E-004,1525.889280,1.1800E-004,1525.889280,7.0240E-005,1525.889280,4.2610E-005,1525.889280,2.8858E000
1525.905760,2.0330E-004,1525.905760,1.1830E-004,1525.905760,7.0200E-005,1525.905760,4.2730E-005,1525.905760,2.8960E000
1525.922240,2.0290E-004,1525.922240,1.1820E-004,1525.922240,7.0260E-005,1525.922240,4.2840E-005,1525.922240,2.8878E000
1525.938720,2.0270E-004,1525.938720,1.1830E-004,1525.938720,7.0180E-005,1525.938720,4.2780E-005,1525.938720,2.8883E000
1525.955200,2.0250E-004,1525.955200,1.1810E-004,1525.955200,7.0200E-005,1525.955200,4.2800E-005,1525.955200,2.8846E000
1525.971680,2.0230E-004,1525.971680,1.1810E-004,1525.971680,7.0120E-005,1525.971680,4.2880E-005,1525.971680,2.8851E000
1525.988160,2.0270E-004,1525.988160,1.1820E-004,1525.988160,7.0120E-005,1525.988160,4.2920E-005,1525.988160,2.8908E000
1526.004640,2.0270E-004,1526.004640,1.1800E-004,1526.004640,7.0180E-005,1526.004640,4.2900E-005,1526.004640,2.8883E000
1526.021120,2.0270E-004,1526.021120,1.1770E-004,1526.021120,7.0180E-005,1526.021120,4.2940E-005,1526.021120,2.8883E000
1526.037600,2.0250E-004,1526.037600,1.1840E-004,1526.037600,7.0340E-005,1526.037600,4.3020E-005,1526.037600,2.8789E000
1526.054080,2.0270E-004,1526.054080,1.1800E-004,1526.054080,7.0510E-005,1526.054080,4.3160E-005,1526.054080,2.8748E000
1526.070560,2.0310E-004,1526.070560,1.1820E-004,1526.070560,7.0450E-005,1526.070560,4.3350E-005,1526.070560,2.8829E000
1526.087040,2.0290E-004,1526.087040,1.1840E-004,1526.087040,7.0650E-005,1526.087040,4.3330E-005,1526.087040,2.8719E000
1526.103520,2.0350E-004,1526.103520,1.1840E-004,1526.103520,7.0550E-005,1526.103520,4.3430E-005,1526.103520,2.8845E000
1526.120000,2.0350E-004,1526.120000,1.1860E-004,1526.120000,7.0690E-005,1526.120000,4.3470E-005,1526.120000,2.8788E000
1526.136480,2.0300E-004,1526.136480,1.1860E-004,1526.136480,7.0560E-005,1526.136480,4.3620E-005,1526.136480,2.8770E000
1526.152960,2.0300E-004,1526.152960,1.1830E-004,1526.152960,7.0690E-005,1526.152960,4.3490E-005,1526.152960,2.8717E000
1526.169440,2.0280E-004,1526.169440,1.1830E-004,1526.169440,7.0690E-005,1526.169440,4.3490E-005,1526.169440,2.8689E000
1526.185920,2.0320E-004,1526.185920,1.1840E-004,1526.185920,7.0730E-005,1526.185920,4.3720E-005,1526.185920,2.8729E000
1526.202400,2.0300E-004,1526.202400,1.1810E-004,1526.202400,7.0690E-005,1526.202400,4.3570E-005,1526.202400,2.8717E000
1526.218880,2.0320E-004,1526.218880,1.1820E-004,1526.218880,7.0560E-005,1526.218880,4.3740E-005,1526.218880,2.8798E000
1526.235360,2.0300E-004,1526.235360,1.1840E-004,1526.235360,7.0690E-005,1526.235360,4.3840E-005,1526.235360,2.8717E000
1526.251840,2.0320E-004,1526.251840,1.1830E-004,1526.251840,7.0790E-005,1526.251840,4.3860E-005,1526.251840,2.8705E000
1526.268320,2.0340E-004,1526.268320,1.1840E-004,1526.268320,7.0810E-005,1526.268320,4.3940E-005,1526.268320,2.8725E000
1526.284800,2.0300E-004,1526.284800,1.1840E-004,1526.284800,7.0910E-005,1526.284800,4.3980E-005,1526.284800,2.8628E000
1526.301280,2.0320E-004,1526.301280,1.1820E-004,1526.301280,7.0990E-005,1526.301280,4.4060E-005,1526.301280,2.8624E000
1526.317760,2.0360E-004,1526.317760,1.1820E-004,1526.317760,7.0910E-005,1526.317760,4.4100E-005,1526.317760,2.8712E000
1526.334240,2.0320E-004,1526.334240,1.1870E-004,1526.334240,7.1100E-005,1526.334240,4.4230E-005,1526.334240,2.8579E000
1526.350720,2.0360E-004,1526.350720,1.1840E-004,1526.350720,7.0890E-005,1526.350720,4.4350E-005,1526.350720,2.8721E000
1526.367200,2.0340E-004,1526.367200,1.1860E-004,1526.367200,7.1140E-005,1526.367200,4.4350E-005,1526.367200,2.8592E000
1526.383680,2.0340E-004,1526.383680,1.1850E-004,1526.383680,7.1160E-005,1526.383680,4.4370E-005,1526.383680,2.8583E000
1526.400160,2.0360E-004,1526.400160,1.1840E-004,1526.400160,7.1280E-005,1526.400160,4.4550E-005,1526.400160,2.8563E000
1526.416640,2.0360E-004,1526.416640,1.1870E-004,1526.416640,7.1200E-005,1526.416640,4.4570E-005,1526.416640,2.8596E000
1526.433120,2.0380E-004,1526.433120,1.1850E-004,1526.433120,7.1300E-005,1526.433120,4.4660E-005,1526.433120,2.8583E000
1526.449600,2.0360E-004,1526.449600,1.1850E-004,1526.449600,7.1260E-005,1526.449600,4.4800E-005,1526.449600,2.8571E000
1526.466080,2.0400E-004,1526.466080,1.1860E-004,1526.466080,7.1340E-005,1526.466080,4.4740E-005,1526.466080,2.8595E000
1526.482560,2.0340E-004,1526.482560,1.1840E-004,1526.482560,7.1280E-005,1526.482560,4.4840E-005,1526.482560,2.8535E000
1526.499040,2.0400E-004,1526.499040,1.1860E-004,1526.499040,7.1280E-005,1526.499040,4.4760E-005,1526.499040,2.8620E000
1526.515520,2.0340E-004,1526.515520,1.1860E-004,1526.515520,7.1180E-005,1526.515520,4.4920E-005,1526.515520,2.8575E000
1526.532000,2.0320E-004,1526.532000,1.1830E-004,1526.532000,7.1300E-005,1526.532000,4.5000E-005,1526.532000,2.8499E000
1526.548480,2.0340E-004,1526.548480,1.1840E-004,1526.548480,7.1480E-005,1526.548480,4.5020E-005,1526.548480,2.8456E000
1526.564960,2.0360E-004,1526.564960,1.1830E-004,1526.564960,7.1280E-005,1526.564960,4.5000E-005,1526.564960,2.8563E000
1526.581440,2.0360E-004,1526.581440,1.1850E-004,1526.581440,7.1380E-005,1526.581440,4.5060E-005,1526.581440,2.8523E000
1526.597920,2.0360E-004,1526.597920,1.1840E-004,1526.597920,7.1570E-005,1526.597920,4.5170E-005,1526.597920,2.8448E000
1526.614400,2.0420E-004,1526.614400,1.1850E-004,1526.614400,7.1670E-005,1526.614400,4.5270E-005,1526.614400,2.8492E000
1526.630880,2.0420E-004,1526.630880,1.1880E-004,1526.630880,7.1770E-005,1526.630880,4.5230E-005,1526.630880,2.8452E000
1526.647360,2.0380E-004,1526.647360,1.1880E-004,1526.647360,7.1750E-005,1526.647360,4.5290E-005,1526.647360,2.8404E000
1526.663840,2.0420E-004,1526.663840,1.1880E-004,1526.663840,7.1670E-005,1526.663840,4.5570E-005,1526.663840,2.8492E000
1526.680320,2.0420E-004,1526.680320,1.1890E-004,1526.680320,7.2040E-005,1526.680320,4.5330E-005,1526.680320,2.8345E000
1526.696800,2.0420E-004,1526.696800,1.1890E-004,1526.696800,7.1710E-005,1526.696800,4.5510E-005,1526.696800,2.8476E000
1526.713280,2.0420E-004,1526.713280,1.1870E-004,1526.713280,7.1870E-005,1526.713280,4.5530E-005,1526.713280,2.8412E000
1526.729760,2.0420E-004,1526.729760,1.1850E-004,1526.729760,7.1750E-005,1526.729760,4.5530E-005,1526.729760,2.8460E000
1526.746240,2.0400E-004,1526.746240,1.1880E-004,1526.746240,7.1690E-005,1526.746240,4.5680E-005,1526.746240,2.8456E000
1526.762720,2.0400E-004,1526.762720,1.1890E-004,1526.762720,7.1790E-005,1526.762720,4.5530E-005,1526.762720,2.8416E000
1526.779200,2.0380E-004,1526.779200,1.1860E-004,1526.779200,7.1970E-005,1526.779200,4.5640E-005,1526.779200,2.8317E000
1526.795680,2.0380E-004,1526.795680,1.1870E-004,1526.795680,7.1930E-005,1526.795680,4.5680E-005,1526.795680,2.8333E000
1526.812160,2.0380E-004,1526.812160,1.1870E-004,1526.812160,7.2010E-005,1526.812160,4.5720E-005,1526.812160,2.8302E000
1526.828640,2.0420E-004,1526.828640,1.1860E-004,1526.828640,7.2080E-005,1526.828640,4.5820E-005,1526.828640,2.8330E000
1526.845120,2.0420E-004,1526.845120,1.1880E-004,1526.845120,7.2160E-005,1526.845120,4.5760E-005,1526.845120,2.8298E000
1526.861600,2.0440E-004,1526.861600,1.1880E-004,1526.861600,7.2260E-005,1526.861600,4.5880E-005,1526.861600,2.8287E000
1526.878080,2.0440E-004,1526.878080,1.1860E-004,1526.878080,7.2400E-005,1526.878080,4.6000E-005,1526.878080,2.8232E000
1526.894560,2.0440E-004,1526.894560,1.1870E-004,1526.894560,7.2340E-005,1526.894560,4.6070E-005,1526.894560,2.8255E000
1526.911040,2.0460E-004,1526.911040,1.1920E-004,1526.911040,7.2320E-005,1526.911040,4.6020E-005,1526.911040,2.8291E000
1526.927520,2.0460E-004,1526.927520,1.1890E-004,1526.927520,7.2400E-005,1526.927520,4.6040E-005,1526.927520,2.8260E000
1526.944000,2.0440E-004,1526.944000,1.1850E-004,1526.944000,7.2420E-005,1526.944000,4.6110E-005,1526.944000,2.8224E000
1526.960480,2.0480E-004,1526.960480,1.1900E-004,1526.960480,7.2440E-005,1526.960480,4.6040E-005,1526.960480,2.8272E000
1526.976960,2.0480E-004,1526.976960,1.1900E-004,1526.976960,7.2400E-005,1526.976960,4.6150E-005,1526.976960,2.8287E000
1526.993440,2.0410E-004,1526.993440,1.1860E-004,1526.993440,7.2280E-005,1526.993440,4.5990E-005,1526.993440,2.8237E000
1527.009920,2.0470E-004,1527.009920,1.1880E-004,1527.009920,7.2580E-005,1527.009920,4.6130E-005,1527.009920,2.8203E000
1527.026400,2.0410E-004,1527.026400,1.1880E-004,1527.026400,7.2320E-005,1527.026400,4.6130E-005,1527.026400,2.8222E000
1527.042880,2.0410E-004,1527.042880,1.1880E-004,1527.042880,7.2520E-005,1527.042880,4.6150E-005,1527.042880,2.8144E000
1527.059360,2.0450E-004,1527.059360,1.1880E-004,1527.059360,7.2440E-005,1527.059360,4.6170E-005,1527.059360,2.8230E000
1527.075840,2.0410E-004,1527.075840,1.1900E-004,1527.075840,7.2460E-005,1527.075840,4.6190E-005,1527.075840,2.8167E000
1527.092320,2.0510E-004,1527.092320,1.1900E-004,1527.092320,7.2500E-005,1527.092320,4.6230E-005,1527.092320,2.8290E000
1527.108800,2.0490E-004,1527.108800,1.1890E-004,1527.108800,7.2790E-005,1527.108800,4.6210E-005,1527.108800,2.8149E000
1527.125280,2.0490E-004,1527.125280,1.1900E-004,1527.125280,7.2830E-005,1527.125280,4.6500E-005,1527.125280,2.8134E000
1527.141760,2.0450E-004,1527.141760,1.1920E-004,1527.141760,7.2850E-005,1527.141760,4.6380E-005,1527.141760,2.8071E000
1527.158240,2.0530E-004,1527.158240,1.1940E-004,1527.158240,7.2950E-005,1527.158240,4.6440E-005,1527.158240,2.8143E000
